no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,type_of_meal_plan_Meal Plan 1,type_of_meal_plan_Meal Plan 2,type_of_meal_plan_Meal Plan 3,type_of_meal_plan_Not Selected,room_type_reserved_Room_Type 1,room_type_reserved_Room_Type 2,room_type_reserved_Room_Type 3,room_type_reserved_Room_Type 4,room_type_reserved_Room_Type 5,room_type_reserved_Room_Type 6,room_type_reserved_Room_Type 7,market_segment_type_Aviation,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status
2,0,2,3,0,17,2018,4,14,0,0,0,96.26,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,1,0,0,286,2018,10,16,0,0,0,90.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,1,2,0,110,2018,10,28,0,0,0,104.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,1,2,0,1,2018,6,17,0,0,0,75.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,2,0,78,2018,12,16,0,0,0,120.49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,34,2018,10,6,0,0,0,153.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0,0,2,0,1,2017,10,14,0,0,0,100.8,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,213,2018,6,7,0,0,0,130.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,1,0,118,2018,4,16,0,0,0,90.9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,3,0,133,2018,4,14,0,0,0,80.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,4,0,110,2018,9,14,0,0,0,86.9,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,4,0,64,2018,3,9,0,0,0,73.95,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,1,0,2,2018,5,19,0,0,0,181.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,0,0,3,0,276,2018,9,22,0,0,0,95.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,1,0,90,2018,7,13,0,0,0,105.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,1,2,0,86,2018,5,20,0,0,0,65.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,0,2,0,0,52,2018,7,31,0,0,0,186.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,2,3,0,13,2018,3,13,0,0,0,63.58,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,2,1,0,276,2018,11,13,0,0,0,60.29,3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,1,0,130,2018,5,23,0,0,0,105.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,2,3,0,163,2018,10,2,0,0,0,80.75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,51,2018,3,16,0,0,0,85.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,2018,4,28,1,0,9,45.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,4,0,137,2018,11,28,0,0,0,85.16,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
1,0,2,2,0,163,2018,6,5,0,0,0,100.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,3,0,335,2018,10,13,0,0,0,80.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,2,1,0,19,2017,12,5,1,1,0,69.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,301,2018,11,18,0,0,0,52.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,0,3,0,111,2018,6,2,0,0,0,117.11,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,1,3,0,31,2018,11,17,0,0,0,74.8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,1,3,0,83,2018,3,24,0,0,0,70.03,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,1,0,1,0,12,2018,2,6,0,0,0,109.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,1,3,0,98,2018,11,14,0,0,0,69.3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,39,2017,8,14,0,0,0,109.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,3,0,203,2018,12,29,0,0,0,102.85,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1,0,0,1,1,0,2018,12,15,0,0,0,50.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
3,0,1,3,0,35,2018,8,25,0,0,0,161.78,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,0,1,0,0,5,2018,9,19,0,0,0,159.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,1,0,11,2017,12,15,0,0,0,65.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,86,2018,6,26,1,0,5,65.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0,1,0,0,4,2018,1,25,0,0,0,64.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0,1,2,0,17,2018,11,14,0,0,0,67.76,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,0,0,5,2018,5,1,0,0,0,155.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,0,3,0,304,2018,11,3,0,0,0,89.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
1,0,0,2,0,35,2018,3,16,0,0,0,76.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,47,2018,9,27,0,0,0,130.61,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,0,1,1,0,1,2017,8,10,0,0,0,105.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,1,0,3,0,151,2018,12,29,0,0,0,143.28,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,2,1,0,18,2018,10,30,0,0,0,145.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2,0,2,3,0,143,2018,6,2,0,0,0,100.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,1,1,0,301,2018,7,30,0,0,0,115.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,1,1,0,2,2018,6,4,0,0,0,119.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,2,1,0,116,2018,2,28,0,0,0,61.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,1,2,0,54,2018,11,11,0,0,0,96.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,1,1,92,2017,8,17,0,0,0,85.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,67,2018,5,30,0,0,0,80.75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,2,1,0,70,2018,4,2,0,0,0,87.3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,1,0,71,2018,6,9,0,0,0,126.9,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,1,0,1,0,84,2018,12,22,0,0,0,122.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,2,0,256,2018,6,15,0,0,0,115.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
3,0,1,4,0,124,2018,8,8,0,0,0,146.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,0,0,2,0,32,2018,10,6,0,0,0,157.5,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,0,4,0,27,2018,11,15,0,0,0,110.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,2,0,103,2018,4,19,0,0,0,115.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,0,2,0,17,2017,10,16,0,0,0,48.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,2,0,239,2018,6,15,0,0,0,112.2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,0,4,0,294,2018,9,21,0,0,0,117.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,1,2,0,12,2018,2,5,1,11,21,108.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,1,2,0,56,2018,11,14,0,0,0,75.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,0,1,3,0,63,2018,7,25,0,0,0,137.7,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,0,0,1,0,1,2018,9,22,0,0,0,188.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,0,1,3,0,92,2018,8,22,0,0,0,150.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
1,0,0,1,0,289,2017,10,17,0,0,0,0.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,2,4,0,13,2018,12,3,0,0,0,89.39,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,15,2018,2,12,0,0,0,79.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,2,0,14,2017,9,17,0,0,0,82.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,3,0,180,2018,10,10,0,0,0,102.6,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1,0,2,1,0,1,2018,2,28,0,0,0,60.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,2,2,5,0,16,2017,10,26,0,0,0,189.49,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1,0,2,2,0,108,2018,5,27,0,0,0,153.9,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2,0,0,2,0,0,2017,9,22,0,0,0,117.04,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,35,2017,10,26,0,0,0,75.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1,0,0,1,0,2,2018,4,16,0,0,0,89.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,3,0,4,2018,3,7,0,0,0,88.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,2,0,49,2018,6,3,0,0,0,80.75,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,1,4,0,24,2018,1,6,0,0,0,68.99,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,1,0,139,2017,12,3,0,0,0,72.25,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,2,2,0,33,2018,3,4,0,0,0,97.4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,2,0,0,4,2018,6,12,0,0,0,120.5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,3,0,63,2017,11,10,0,0,0,89.53,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,1,1,3,0,235,2018,10,27,0,0,0,106.25,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,0,1,1,0,4,2018,3,7,1,0,2,66.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0,2,5,0,79,2018,9,3,0,0,0,95.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,0,2,2,0,26,2017,12,26,0,0,0,60.75,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,1,0,2,0,58,2018,6,8,0,0,0,138.6,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,95,2018,2,5,0,0,0,72.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,16,2018,6,2,0,0,0,152.67,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,1,5,0,93,2018,4,26,0,0,0,105.4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,133,2018,3,11,0,0,0,84.33,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,21,2018,3,4,0,0,0,85.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,1,1,0,102,2018,8,6,0,0,0,63.75,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,1,0,15,2018,2,11,0,0,0,100.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,257,2017,7,1,0,0,0,101.5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,0,3,0,122,2018,8,2,0,0,0,118.8,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,2,1,1,0,217,2018,8,27,0,0,0,168.3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
1,0,2,4,0,245,2018,7,6,0,0,0,110.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
3,0,0,4,0,87,2018,8,9,0,0,0,150.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,0,2,1,0,71,2018,4,24,0,0,0,112.8,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,0,3,0,71,2018,5,10,0,0,0,126.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,60,2018,3,3,0,0,0,87.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3,0,1,2,0,42,2018,3,18,0,0,0,182.7,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,1,0,2,0,84,2018,7,15,0,0,0,121.5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,2,0,46,2018,1,1,0,0,0,71.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,1,0,82,2017,12,19,0,0,0,60.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,0,0,2,0,292,2018,7,21,0,0,0,115.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,0,2,1,0,44,2018,4,23,0,0,0,85.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,3,0,151,2018,1,19,0,0,0,80.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,3,0,44,2018,11,3,0,0,0,93.33,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,2,0,1,0,15,2018,5,6,0,0,0,221.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
2,0,1,0,0,69,2017,10,4,0,0,0,68.72,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,1,0,130,2018,8,27,0,0,0,85.5,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,0,4,0,2,2018,3,9,0,0,0,105.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,2,0,147,2018,5,22,0,0,0,99.45,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,267,2018,9,30,0,0,0,95.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,0,2,0,273,2017,7,17,0,0,0,109.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,1,4,0,32,2017,10,26,0,0,0,113.4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,0,2,3,0,42,2018,4,24,0,0,0,134.98,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,0,1,4,0,17,2018,1,25,0,0,0,77.25,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,0,0,3,0,166,2018,11,1,0,0,0,110.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,0,2,0,317,2018,9,15,0,0,0,120.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,0,2,0,88,2018,4,7,0,0,0,76.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,2,0,32,2018,11,8,0,0,0,143.28,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,0,2,0,346,2018,9,13,0,0,0,115.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,0,1,0,1,2018,2,11,0,0,0,80.0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,5,0,140,2018,7,4,0,0,0,116.45,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,0,0,2,0,5,2018,5,24,0,0,0,110.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0,1,2,0,155,2018,8,22,0,0,0,94.5,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,2,0,0,146,2018,4,24,0,0,0,95.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
3,0,1,4,0,56,2018,8,29,0,0,0,142.2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,0,1,2,0,189,2018,10,28,0,0,0,96.3,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3,0,2,2,0,54,2018,5,13,0,0,0,150.45,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3,0,1,1,0,171,2018,8,22,0,0,0,137.7,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
1,0,0,1,1,9,2018,4,21,0,0,0,104.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0,0,2,0,211,2018,5,20,0,0,0,100.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,1,4,0,148,2017,12,30,0,0,0,67.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,2,0,60,2018,9,2,0,0,0,123.3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
3,0,1,3,0,17,2017,12,24,0,0,0,109.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,0,1,0,0,13,2018,3,20,0,0,0,85.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2,0,0,2,0,98,2018,12,2,0,0,0,79.2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,2,2,0,15,2018,11,13,0,0,0,92.94,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,2,0,305,2018,11,4,0,0,0,89.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
2,0,0,1,0,22,2018,2,19,0,0,0,67.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
2,0,0,2,0,42,2018,3,11,0,0,0,71.1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,0,2,0,273,2017,7,17,0,0,0,87.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
3,0,0,2,0,38,2018,3,25,0,0,0,168.3,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,2,2,0,12,2018,1,2,0,0,0,92.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,1,1,1,0,8,2018,8,13,0,0,0,159.5,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1,0,1,2,0,180,2018,10,10,0,0,0,120.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
3,0,1,1,0,1,2018,12,26,0,0,0,161.0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2,0,0,2,0,186,2018,7,28,0,0,0,96.3,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
2,0,2,2,0,53,2018,9,11,0,0,0,149.4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
2,0,2,1,0,134,2018,4,16,0,0,0,80.0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,0,1,0,0,2018,5,20,0,0,0,161.0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
2,0,1,3,0,14,2017,10,19,0,0,0,92.17,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
